s,x,y,curvature
1.815582558970693372e-01,2.586555390414463709e-02,4.942883267292788596e-01,-6.540524160335810855e+00
1.822730521801286807e-01,2.806865980413073697e-02,4.925120817295050579e-01,5.560123916491549467e-01
1.829878484631879965e-01,3.027725589206766918e-02,4.907386112601408445e-01,-6.580912278264542392e-01
1.837026447462473122e-01,3.248556350438067120e-02,4.889659129870270182e-01,2.823973491138127012e-01
1.844174410293066557e-01,3.468915167183268811e-02,4.871798937637564220e-01,1.368954676268363890e+01
1.851322373123659715e-01,3.691766780019504340e-02,4.854646171311987057e-01,-1.065661586926659510e+02
1.858470335954253150e-01,3.907782557375703847e-02,4.835551206808552105e-01,7.291610221469912858e+02
1.865618298784846307e-01,4.172828141015069020e-02,4.830386419426313527e-01,-2.122898860705336403e+02
1.872766261615439742e-01,4.422140518855501023e-02,4.820751435137228813e-01,-2.706008975026188637e+02
1.879914224446032900e-01,4.650954128176589680e-02,4.805293026639239073e-01,2.328326682466807895e+01
1.887062187276626335e-01,4.887766489676848014e-02,4.792106511885805831e-01,8.193670485426470407e+01
1.894210150107219492e-01,5.129987934254635895e-02,4.780457415727892845e-01,4.356925989213493153e+02
1.901358112937812650e-01,5.395754702891019522e-02,4.775497642455243663e-01,-5.541753082773772121e+02
1.908506075768406085e-01,5.636473128008684386e-02,4.763421002392031478e-01,-9.681878099170599228e+01
1.915654038598999243e-01,5.871889486247219153e-02,4.749837930374981032e-01,8.256655337265825665e+02
1.922802001429592678e-01,6.136085041185020822e-02,4.744431825116321999e-01,-2.347042664777706023e+02
1.929949964260185835e-01,6.386229828904596562e-02,4.735033721846988453e-01,-4.499093687374652291e+02
1.937097927090779270e-01,6.616496569954931350e-02,4.719987593062148767e-01,9.379850568941067195e+02
1.944245889921372428e-01,6.876538805016893519e-02,4.713401195683174505e-01,-4.468487859829321707e+01
1.951393852751965863e-01,7.132998383854152746e-02,4.705796883142442932e-01,-1.738358433774023126e+02
1.958541815582559020e-01,7.419880799225966883e-02,4.706836408682587014e-01,-2.449772855570325873e+02
1.965689778413152178e-01,7.654189616267061125e-02,4.692939286616190642e-01,5.162900783279487769e+02
1.972837741243745613e-01,7.936731052872406100e-02,4.692745415115694430e-01,-2.490725010739425045e+02
