s,x,y,curvature
1.225612806403201527e-01,2.294510840515759098e-01,7.396965340069218131e-01,2.316793632048544183e+01
1.230615307653826762e-01,2.307053376737557837e-01,7.395056244931172973e-01,2.181239105784303334e+01
1.235617808904452136e-01,2.319847431602619636e-01,7.393472594573203827e-01,2.051111446374484970e+01
1.240620310155077510e-01,2.332890093063398063e-01,7.392210139493371468e-01,1.926868954250559796e+01
1.245622811405702746e-01,2.346178449072348349e-01,7.391264630189737783e-01,1.808789764969503011e+01
1.250625312656327981e-01,2.359709587581923229e-01,7.390631817160360217e-01,1.697003089703568079e+01
1.255627813906953494e-01,2.373480596544579879e-01,7.390307450903305098e-01,1.591518062517555698e+01
1.260630315157578729e-01,2.387488563912769368e-01,7.390287281916625428e-01,1.492249507554177868e+01
1.265632816408203964e-01,2.401730577638948039e-01,7.390567060698387536e-01,1.399040336175811738e+01
1.270635317658829200e-01,2.416203725675570291e-01,7.391142537746652197e-01,1.311680565809866650e+01
1.275637818909454713e-01,2.430905095975090524e-01,7.392009463559477966e-01,1.229923137564528801e+01
1.280640320160079948e-01,2.445831776489962028e-01,7.393163588634924510e-01,1.153496819460506728e+01
1.285642821410705183e-01,2.460980855172639481e-01,7.394600663471053714e-01,1.082116535999920615e+01
1.290645322661330696e-01,2.476349419975578947e-01,7.396316438565928575e-01,1.015491479600525260e+01
1.295647823911955931e-01,2.491934558851232606e-01,7.398306664417606537e-01,9.533313486495440969e+00
1.300650325162581167e-01,2.507733359752055136e-01,7.400567091524149488e-01,8.953510308075591340e+00
1.305652826413206402e-01,2.523742910630502601e-01,7.403093470383619312e-01,8.412740161043101850e+00
1.310655327663831915e-01,2.539960299439028568e-01,7.405881551494074566e-01,7.908347873849554510e+00
1.315657828914457150e-01,2.556382614130086051e-01,7.408927085353574915e-01,7.437803990744327187e+00
1.320660330165082386e-01,2.573006942656130835e-01,7.412225822460184466e-01,6.998714210024824744e+00
1.325662831415707621e-01,2.589830372969617045e-01,7.415773513311962883e-01,6.588823932206111955e+00
1.330665332666333134e-01,2.606849993022999357e-01,7.419565908406968724e-01,6.206019107673309776e+00
1.335667833916958369e-01,2.624062890768731338e-01,7.423598758243263873e-01,5.848324342222585237e+00
1.340670335167583604e-01,2.641466154159267665e-01,7.427867813318911328e-01,5.513899024160815010e+00
1.345672836418209117e-01,2.659056871147063572e-01,7.432368824131968532e-01,5.201032074874204270e+00
1.350675337668834353e-01,2.676832129684572070e-01,7.437097541180497373e-01,4.908135792000928532e+00
1.355677838919459588e-01,2.694789017724247837e-01,7.442049714962559737e-01,4.633739146491555161e+00
1.360680340170084823e-01,2.712924623218545550e-01,7.447221095976211958e-01,4.376480808054673766e+00
1.365682841420710336e-01,2.731236034119920997e-01,7.452607434719519253e-01,4.135102104257430078e+00
1.370685342671335571e-01,2.749720338380826079e-01,7.458204481690541288e-01,3.908440063794686115e+00
1.375687843921960807e-01,2.768374623953716029e-01,7.464007987387336618e-01,3.695420651493899644e+00
1.380690345172586320e-01,2.787195978791046636e-01,7.470013702307968240e-01,3.495052269234623754e+00
1.385692846423211555e-01,2.806181490845270354e-01,7.476217376950496929e-01,3.306419571248290890e+00
1.390695347673836790e-01,2.825328248068841863e-01,7.482614761812981241e-01,3.128677622673142533e+00
1.395697848924462026e-01,2.844633338414216950e-01,7.489201607393484172e-01,2.961046415498490791e+00
1.400700350175087538e-01,2.864093849833848626e-01,7.495973664190065389e-01,2.802805745108452928e+00
1.405702851425712774e-01,2.883706870280191015e-01,7.502926682700784555e-01,2.653290442696301987e+00
1.410705352676338009e-01,2.903469487705699903e-01,7.510056413423703559e-01,2.511885953198073729e+00
1.415707853926963244e-01,2.923378790062827748e-01,7.517358606856882064e-01,2.378024244556954603e+00
1.420710355177588757e-01,2.943431865304032558e-01,7.524829013498381958e-01,2.251180031655492186e+00
1.425712856428213993e-01,2.963625801381764568e-01,7.532463383846264016e-01,2.130867296809365374e+00
1.430715357678839228e-01,2.983957686248479568e-01,7.540257468398586793e-01,2.016636088042103925e+00
1.435717858929464741e-01,3.004424607856633345e-01,7.548207017653413287e-01,1.908069576252295230e+00
